"Date Time, GMT-09:00",5 cm ST (°C),10 cm ST (°C),20 cm ST (°C),30 cm ST (°C),50 cm ST (°C),100 cm ST (°C),125 cm ST (°C)
2022-10-25,2.6402291666666664,0.21845833333333334,0.17545833333333336,11.126791666666668,0.22966666666666666,1.7965625,0.09766666666666667
2022-10-26,0.2521875,-0.44756250000000003,0.14433333333333334,11.178770833333333,0.23958333333333334,1.8460625000000002,0.079
2022-10-27,-1.3014791666666665,-1.3523333333333334,0.09649999999999999,11.197083333333333,0.24133333333333332,1.8995,0.08308333333333333
2022-10-28,-0.8251458333333334,-1.2766041666666668,0.09595833333333333,11.231,0.24308333333333332,1.9461875,0.08716666666666667
2022-10-29,-4.1885625,-2.860708333333333,0.00225,11.259895833333333,0.22383333333333333,1.9945625,0.09591666666666666
2022-10-30,-4.156041666666667,-2.9572083333333334,-0.043020833333333335,11.272770833333333,0.218,2.028541666666667,0.08075
2022-10-31,-6.597708333333333,-3.8622708333333335,-0.16672916666666668,11.3151875,0.21858333333333332,2.0818749999999997,0.10175000000000001
2022-11-01,-2.8568541666666665,-2.08975,-0.03725,11.349666666666666,0.218,2.10775,0.079
2022-11-02,-5.126833333333333,-3.1365833333333337,-0.16029166666666667,11.470895833333332,0.218,2.1443125,0.08833333333333333
2022-11-03,-5.4690625,-3.4371666666666667,-0.2841666666666667,11.443645833333333,0.218,2.187625,0.09999999999999999
2022-11-04,-3.4511875,-2.0939166666666664,-0.14622916666666666,11.424999999999999,0.218,2.209,0.08016666666666666
2022-11-05,-3.667291666666667,-2.2876458333333334,-0.20191666666666666,11.424999999999999,0.21625000000000003,2.24575,0.08191666666666667
2022-11-06,-3.3208125,-2.1787291666666664,-0.21650000000000003,11.412208333333334,0.218,2.272125,0.08833333333333333
2022-11-07,-0.18881250000000002,-0.7345833333333333,-0.023333333333333334,11.379479166666668,0.2145,2.298,0.09999999999999999
2022-11-08,2.0742708333333333,0.1105,0.11925000000000001,11.385,0.218,2.3249999999999997,0.135
2022-11-09,0.4184583333333334,-0.0415625,0.135,11.372,0.22675,2.3525625,0.10875000000000001
2022-11-10,-2.4599583333333332,-0.9439583333333333,0.11866666666666666,11.356499999999999,0.23491666666666666,2.3835416666666664,0.08950000000000001
2022-11-11,-0.8170000000000001,-0.8737499999999999,0.10291666666666666,11.324645833333333,0.21858333333333332,2.4089375,0.079
2022-11-12,-2.3281666666666667,-1.6493541666666667,-0.0014583333333333334,11.328291666666667,0.218,2.4325625,0.08133333333333333
2022-11-13,-5.1474166666666665,-3.1786250000000003,-0.39208333333333334,11.374083333333333,0.218,2.4707500000000002,0.09708333333333334
2022-11-14,-7.412958333333333,-4.109916666666667,-0.7028125,11.447125,0.194125,2.4915416666666665,0.14527083333333332
2022-11-15,-6.663916666666666,-4.3258125000000005,-0.9209583333333332,11.447104166666668,0.163,1.4837916666666666,0.3730625
2022-11-16,-3.6392291666666665,-2.771354166666667,-0.7185416666666667,11.405979166666667,0.163,1.053,0.9751458333333334
